ID,Date,focalFlowering,flowerCount,focalScars,companionFlowering,companionFlowerCount,companionScars,notes
nn13,10-Aug,1,1,0,0,0,0,
nn13,13-Aug,1,2,1,0,0,0,
pc39,14-Aug,1,2,0,0,0,0,
cc25,15-Aug,1,1,0,0,0,0,
pn16,16-Aug,1,1,0,0,0,0,
pn29,17-Aug,1,1,0,0,0,0,
cn28,18-Aug,1,1,0,0,0,0,
nc23,18-Aug,1,1,,,,,
kn2,18-Aug,1,1,,,,,
pn16,18-Aug,1,,,,,,
cc40,19-Aug,1,,,,,,
kc33,18-Aug,1,,,,,,
pn20,19-Aug,1,,,,,,
pn33,20-Aug,1,,,,,,
kn4,21-Aug,1,,,,,,
pn30,21-Aug,1,,,,,,
cn28,20-Aug,1,,,,,,
cn8,21-Aug,1,,,,,,
cn15,20-Aug,1,,,,,,
kn38,21-Aug,1,,,,,,
pc39,20-Aug,1,,,,,,
nc23,20-Aug,1,,,,,,
kc30,20-Aug,1,,,,,,
cc25,20-Aug,1,,,,,,
kc1,21-Aug,1,,,,,,
cc40,21-Aug,1,,,,,,
cc24,21-Aug,1,,,,,,
pn16,21-Aug,1,,,,,,
kn2,21-Aug,1,,,,,,
nn36,21-Aug,1,,,,,,
kc25,20-Aug,1,,,,,,
kc33,21-Aug,1,,,,,,
cn20,21-Aug,1,,,,,,
pn33,21-Aug,1,,,,,,
nn18,21-Aug,1,,,,,,
pn29,21-Aug,1,,,,,,
cc13,21-Aug,1,,,,,,
nc36,21-Aug,1,,,,,,
pc17,21-Aug,1,,,,,,
nc25,21-Aug,1,,,,,,
pc12,20-Aug,1,,,,,,
pc5,21-Aug,1,,,,,,
cc5,21-Aug,1,,,,,,
kc14,21-Aug,1,,,,,,
cn36,22-Aug,0,0,1,,,,
cn8,22-Aug,1,,1,,,,
nn4,22-Aug,1,,0,,,,
kn1,22-Aug,1,,0,,,,
kn38,22-Aug,1,,0,,,,
nn13,22-Aug,1,,0,,,,
pc39,22-Aug,1,,0,,,,
kc14,22-Aug,1,,0,,,,
nc28,22-Aug,1,,0,,,,
cc15,22-Aug,0,,1,,,,
kc30,22-Aug,1,,0,,,,
nc23,22-Aug,1,,0,,,,
kn12,22-Aug,1,,0,,,,
cn26,22-Aug,0,,1,,,,
kn4,22-Aug,1,,0,,,,
pn30,22-Aug,1,,0,,dead companion,,
cn28,22-Aug,1,,0,,,,
cn20,22-Aug,1,,0,,,,
kn39,22-Aug,1,,0,,,,
pn40,22-Aug,1,,0,,,,
kc33,22-Aug,1,,0,,,,
kc25,22-Aug,1,,0,,,,
cn18,22-Aug,1,,1,,,,
cn11,22-Aug,0,,1,,,,
cn40,22-Aug,0,,0,,,,
nn36,22-Aug,1,,0,,,,
pn16,22-Aug,1,,0,,,,
kn2,22-Aug,1,,0,,,,
cc24,22-Aug,1,,0,,,,
cc40,22-Aug,1,,0,,,,
cc25,22-Aug,1,,0,,,,
kc1,22-Aug,1,,0,,,,
pn33,22-Aug,1,,0,,dead companion,,
cn2,22-Aug,1,,0,,,,
cn9,22-Aug,0,,1,,,,
cc27,22-Aug,0,,1,,,,
pc40,22-Aug,1,,0,,,,
nc36,22-Aug,1,,0,,,,
cc13,22-Aug,1,,0,,,,
pc17,22-Aug,1,,0,,,,
nc35,22-Aug,1,,0,,,,
nn18,22-Aug,1,,0,,,,
pn29,22-Aug,1,,0,,,,
nc3,22-Aug,1,,0,,,,
cc32,22-Aug,0,,1,,,,
nc25,22-Aug,1,,0,,,,
nc21,22-Aug,1,,0,,,,
cc5,22-Aug,1,,0,,,,
cc8,22-Aug,1,,0,,,,
pc5,22-Aug,1,,0,,,,
cc23,22-Aug,0,,1,,,,
cc7,22-Aug,0,,1,,,,
pc12,22-Aug,1,,0,,,,
cc22,22-Aug,0,,1,,,,
nn31,24-Aug,1,2,0,,,,
nn40,24-Aug,1,1,0,,,,
cn16,24-Aug,0,0,0,1,2,1,
kn4,24-Aug,1,2,1,,,,
kn21,24-Aug,1,1,0,,,,
pn30,24-Aug,1,3,0,,,,companion dead
cn28,24-Aug,1,8,2,,,,
nc2,24-Aug,1,1,0,,,,
nc28,24-Aug,1,7,1,,,,
cc15,24-Aug,1,3,0,1,2,0,
kc30,24-Aug,1,12,5,,,,
nc23,24-Aug,1,24,13,,,,
cc16,24-Aug,1,1,0,,,,
pc36,24-Aug,1,4,0,,,,companion dead
pc13,24-Aug,1,1,0,,,,
pc30,24-Aug,1,2,0,,,,
pc25,24-Aug,1,2,0,,,,
kn9,24-Aug,0,0,0,,,,
cn26,24-Aug,0,0,0,1,7,2,
nn17,24-Aug,1,1,0,,,,
kn12,24-Aug,1,2,1,,,,
pn11,24-Aug,1,1,0,,,,companion dead
nc18,24-Aug,1,1,0,,,,eggs on leaves
nc40,24-Aug,1,1,0,,,,
kc14,24-Aug,1,3,2,,,,
pc39,24-Aug,1,11,7,,,,
pc27,24-Aug,1,1,0,,,,
kc3,24-Aug,1,1,0,,,,
nn13,24-Aug,1,28,18,,,,
nn35,24-Aug,1,2,0,,,,
cn36,24-Aug,0,0,0,1,4,1,
cn8,24-Aug,1,6,4,1,8,2,
cn13,24-Aug,1,3,0,0,0,0,
kn38,24-Aug,1,1,1,0,0,0,
cn19,24-Aug,0,0,0,1,2,0,
cn31,24-Aug,1,2,0,,,,
cn15,24-Aug,1,6,0,,,,
kn1,24-Aug,1,7,1,,,,
nn4,24-Aug,1,5,0,,,,
kc17,24-Aug,1,2,0,,,,
kn39,24-Aug,1,1,3,,,,dying C
cn35,24-Aug,0,0,0,1,5,0,
cn20,24-Aug,1,8,3,,,,
pn40,24-Aug,1,4,0,,,,
cn21,24-Aug,0,0,0,1,3,0,
kc33,24-Aug,1,4,6,,,,
kc25,24-Aug,1,11,4,,,,
pc16,24-Aug,1,1,0,,,,
cn11,24-Aug,1,1,0,1,3,2,
cn18,24-Aug,1,1,1,1,7,3,
pn7,24-Aug,1,3,0,,,,dead companion
cn38,24-Aug,1,2,0,,,,
kn22,24-Aug,1,2,0,,,,
nc5,24-Aug,1,2,0,,,,
cc36,24-Aug,1,1,0,,,,
pn16,24-Aug,1,9,12,,,,
nn10,24-Aug,1,1,0,,,,
kn2,24-Aug,1,16,8,,,,
cn40,24-Aug,0,0,0,1,1,0,
nn36,24-Aug,1,3,1,,,,
kn25,24-Aug,1,4,0,,,,
nn14,24-Aug,1,2,0,,,,
nn24,24-Aug,1,1,0,,,,
kc6,24-Aug,1,3,0,,,,
cc25,24-Aug,1,13,13,,,,
kc1,24-Aug,1,10,1,,,,
cc31,24-Aug,1,2,0,,,,
pc19,24-Aug,1,1,0,,,,dead companion
cc18,24-Aug,1,1,0,,,,
cc24,24-Aug,1,3,0,,,,
cc37,24-Aug,0,0,0,1,2,0,
kc2,24-Aug,1,3,0,,,,
cc40,24-Aug,1,6,2,,,,
cn23,24-Aug,0,0,0,1,1,0,
pn10,24-Aug,1,2,0,,,,dead companion
pn5,24-Aug,1,3,0,,,,
cn9,24-Aug,0,0,0,1,6,7,
pn33,24-Aug,1,11,4,,,,dead companion
cn2,24-Aug,1,5,0,,,,
kn40,24-Aug,1,2,0,,,,
cn4,24-Aug,1,2,0,,,,
cc27,24-Aug,0,0,0,1,2,0,
nc13,24-Aug,1,2,0,,,,
pc40,24-Aug,1,5,0,,,,
nc36,24-Aug,1,6,1,,,,
kc5,24-Aug,1,3,0,,,,
nc6,24-Aug,1,1,0,,,,
nc35,24-Aug,1,11,4,,,,
cc13,24-Aug,1,2,2,1,2,0,
pc17,24-Aug,1,3,1,,,,
kn27,24-Aug,1,1,0,,,,
pn29,24-Aug,1,10,8,,,,
nn5,24-Aug,1,4,0,,,,
cc14,24-Aug,0,0,0,1,1,0,
nc3,24-Aug,1,3,0,,,,
nc38,24-Aug,1,1,0,,,,
pc11,24-Aug,1,1,0,,,,dead companion
cc32,24-Aug,0,0,0,1,4,1,
cc29,24-Aug,1,3,1,,,,
nc21,24-Aug,1,6,0,,,,
pc10,24-Aug,1,2,0,,,,
nc25,24-Aug,1,2,1,,,,
cc17,24-Aug,1,2,0,,,,
cc5,24-Aug,1,5,1,,,,
cc8,24-Aug,1,4,0,,,,
cc23,24-Aug,0,0,0,1,3,1,
pc5,24-Aug,1,7,1,,,,
cc2,24-Aug,0,0,0,1,4,0,
cc7,24-Aug,0,0,0,1,3,0,
pc12,24-Aug,1,5,2,,,,
cc22,24-Aug,1,1,0,1,6,3,
nn29,28-Aug,1,2,2,,,,
pn12,28-Aug,1,3,2,,,,
nn31,28-Aug,1,6,4,,,,
kn25,28-Aug,1,6,0,,,,
cn33,28-Aug,1,3,1,1,3,0,
nn27,28-Aug,1,2,1,,,,
pn25,28-Aug,1,1,1,,,,
pn24,28-Aug,1,1,0,,,,
pn13,28-Aug,1,2,3,,,,dead companion
kn20,28-Aug,1,1,0,,,,
kn5,28-Aug,1,5,0,,,,
nn40,28-Aug,1,3,1,,,,
cn16,28-Aug,0,0,0,1,5,3,
nn8,28-Aug,1,1,0,,,,
cn28,28-Aug,1,15,13,,,,
nn15,28-Aug,1,3,1,,,,
pn30,28-Aug,1,12,5,,,,dead companion
kn21,28-Aug,1,2,2,,,,
pn3,28-Aug,1,6,0,,,,dead companion
kn4,28-Aug,1,5,3,,,,
nc23,28-Aug,1,12,55,,,,
cc28,28-Aug,1,2,0,1,3,1,
nc2,28-Aug,1,3,2,,,,
kc19,28-Aug,1,7,5,,,,
nc28,28-Aug,1,9,12,,,,
cc15,28-Aug,1,10,3,1,11,1,
kc30,28-Aug,1,23,22,,,,
pc25,28-Aug,1,8,2,,,,
kc26,28-Aug,1,1,2,,,,
cc34,28-Aug,1,4,0,,,,
pc30,28-Aug,1,6,6,,,,
pc13,28-Aug,1,7,1,,,,
pc36,28-Aug,1,17,4,,,,dead companion
pc9,28-Aug,1,3,0,,,,
cc16,28-Aug,1,5,4,1,5,1,
pn11,28-Aug,1,7,4,,,,dead companion
kn12,28-Aug,1,8,5,,,,
cn26,28-Aug,1,1,0,1,10,8,
nn17,28-Aug,1,3,3,,,,
cn1,28-Aug,1,1,1,,,,
kn7,28-Aug,1,1,0,,,,
kn9,28-Aug,1,2,0,,,,
nn26,28-Aug,1,1,0,,,,
cc1,28-Aug,1,3,0,,,,
nc18,28-Aug,1,5,2,,,,
nc12,28-Aug,1,1,0,,,,
nc40,28-Aug,1,1,3,,,,
kc14,28-Aug,1,12,8,,,,
kc11,28-Aug,1,2,0,,,,
cc3,28-Aug,1,4,0,1,1,0,
pc39,28-Aug,1,14,24,,,,
kc13,28-Aug,1,2,0,,,,
pc27,28-Aug,1,4,4,,,,
kc3,28-Aug,1,5,1,,,,
kc9,28-Aug,1,5,0,,,,
pn4,28-Aug,1,1,0,,,,dead companion
nn35,28-Aug,1,5,7,,,,
cn29,28-Aug,0,0,0,1,3,1,
pn22,28-Aug,1,1,0,,,,
cn34,28-Aug,1,5,0,,,,
nn13,28-Aug,1,18,56,,,,
kn38,28-Aug,1,8,3,,,,
cn37,28-Aug,0,0,0,1,3,1,
pn32,28-Aug,1,3,3,,,,
cn19,28-Aug,1,1,0,1,6,3,
cn7,28-Aug,1,3,2,1,6,0,
pn34,28-Aug,1,4,0,,,,
cn15,28-Aug,1,12,9,1,1,0,
cn31,28-Aug,1,4,3,1,6,0,
kn1,28-Aug,1,12,12,,,,
nn4,28-Aug,1,14,18,,,,
cn27,28-Aug,1,6,0,1,2,2,
cn22,28-Aug,1,2,0,,,,grass planted as companion
cn36,28-Aug,0,0,0,1,6,10,
kn29,28-Aug,1,2,0,,,,
pn9,28-Aug,1,1,0,,,,
cn8,28-Aug,1,10,14,1,6,14,
kn36,28-Aug,1,5,1,,,,
cn13,28-Aug,1,7,5,1,6,0,
cc4,28-Aug,1,5,2,,,,
pc21,28-Aug,1,1,0,,,,
nc1,28-Aug,1,5,3,,,,
kc17,28-Aug,1,10,5,,,,
kc24,28-Aug,1,2,0,,,,
nc9,28-Aug,1,2,0,,,,
cn20,28-Aug,1,12,10,1,2,2,
pn36,28-Aug,1,2,0,,,,
cn35,28-Aug,0,0,0,1,9,8,
cn21,28-Aug,1,2,0,1,6,4,
nn37,28-Aug,1,1,0,,,,
nn2,28-Aug,1,2,1,,,,
pn40,28-Aug,1,9,7,,,,
kn26,28-Aug,1,5,3,,,,dead companion
kn16,28-Aug,1,3,1,,,,
cc30,28-Aug,0,0,0,1,2,0,
kc15,28-Aug,1,3,0,,,,
kc33,28-Aug,1,8,16,,,,
kc25,28-Aug,1,14,14,,,,
kc21,28-Aug,1,4,0,,,,
pc16,28-Aug,1,5,1,,,,
nc30,28-Aug,1,2,1,,,,
cn11,28-Aug,1,2,4,1,3,7,
nn7,28-Aug,1,3,0,,,,
cn18,28-Aug,1,8,6,1,13,12,
pn7,28-Aug,1,5,9,,,,dead companion
cn30,28-Aug,1,3,0,1,2,1,
cn10,28-Aug,1,1,0,1,2,0,
cn38,28-Aug,1,6,2,1,2,0,
nn33,28-Aug,1,4,1,,,,
kn3,28-Aug,1,1,0,,,,
kn8,28-Aug,1,3,0,,,,
nn30,28-Aug,1,3,2,,,,
kn13,28-Aug,1,1,0,,,,
pn37,28-Aug,1,2,0,,,,
kn22,28-Aug,1,6,5,,,,
nn34,28-Aug,1,3,0,,,,
cn32,28-Aug,0,0,0,1,1,0,
nc5,28-Aug,1,6,3,,,,
nc17,28-Aug,1,1,0,,,,
cc10,28-Aug,1,7,0,,,,
kc39,28-Aug,1,3,1,,,,
kc16,28-Aug,1,7,0,,,,
cc36,28-Aug,1,7,5,,,,
cc39,28-Aug,1,3,0,,,,
cn17,28-Aug,0,0,0,1,9,9,
nn36,28-Aug,1,9,9,,,,
kn15,28-Aug,1,5,3,,,,dead companion
nn23,28-Aug,1,2,1,,,,
cn40,28-Aug,0,0,0,1,6,2,
kn2,28-Aug,1,6,30,,,,
nn10,28-Aug,1,2,0,,,,
pn16,28-Aug,1,18,19,,,,
nn20,28-Aug,1,3,0,,,,
cn25,28-Aug,1,1,0,1,1,1,
kn35,28-Aug,1,5,4,,,,
nn24,28-Aug,1,8,2,,,,
cn6,28-Aug,1,3,0,1,4,5,
nn14,28-Aug,1,7,3,,,,
nn39,28-Aug,1,4,0,,,,
cc24,28-Aug,1,11,8,,,,
nc32,28-Aug,1,7,4,,,,
cc18,28-Aug,1,5,2,1,1,0,
cc31,28-Aug,1,5,5,1,1,2,
pc19,28-Aug,1,2,2,,,,dead companion
cc19,28-Aug,1,4,0,,,,
cc40,28-Aug,1,8,11,1,2,1,
pc7,28-Aug,1,5,2,,,,
cc33,28-Aug,1,2,0,1,8,2,
kc12,28-Aug,1,1,0,,,,
kc2,28-Aug,1,7,6,,,,
nc19,28-Aug,1,2,1,,,,
cc37,28-Aug,0,0,0,1,6,4,
pc4,28-Aug,1,1,0,,,,
pc37,28-Aug,1,2,2,,,,
kc6,28-Aug,1,7,3,,,,
nc24,28-Aug,1,2,0,,,,
cc25,28-Aug,1,10,29,1,7,8,
kc1,28-Aug,1,12,19,,,,
kc36,28-Aug,1,1,0,,,,
pn27,28-Aug,1,2,0,,,,
cn2,28-Aug,1,6,7,1,2,1,
pn1,28-Aug,1,3,3,,,,
pn3,28-Aug,1,17,16,,,,dead companion
cn9,28-Aug,1,2,0,1,14,12,
cn5,28-Aug,1,3,0,1,3,0,
cn14,28-Aug,1,2,0,1,2,1,
cn23,28-Aug,1,4,1,1,6,2,
nn32,28-Aug,1,2,1,,,,
kn24,28-Aug,1,1,0,,,,
cn12,28-Aug,1,1,0,1,3,1,
pn28,28-Aug,1,2,0,,,,
pn5,28-Aug,1,11,4,,,,
pn10,28-Aug,1,9,2,,,,
kn40,28-Aug,1,5,3,,,,
cn39,28-Aug,1,2,2,,,,
cn4,28-Aug,1,5,0,1,1,0,
nn19,28-Aug,1,2,0,,,,
kc23,28-Aug,1,1,0,,,,
nc13,28-Aug,1,3,3,,,,
cc27,28-Aug,0,0,0,1,1,8,
nc10,28-Aug,1,2,0,,,,
kc5,28-Aug,1,5,2,,,,
nc36,28-Aug,1,10,14,,,,
pc40,28-Aug,1,6,10,,,,
nc6,28-Aug,1,8,3,,,,
nc35,28-Aug,1,15,23,,,,
cc38,28-Aug,1,2,1,1,3,0,
nc37,28-Aug,1,4,0,,,,
cc13,28-Aug,1,5,8,1,3,3,
pc17,28-Aug,1,7,7,,,,
pc29,28-Aug,1,12,28,,,,
kn27,28-Aug,1,4,1,,,,
pn19,28-Aug,1,5,1,,,,
nn18,28-Aug,1,8,4,,,,
nn5,28-Aug,1,6,10,,,,
pn21,28-Aug,1,5,0,,,,
cn24,28-Aug,1,2,0,,,,
nc16,28-Aug,1,1,1,,,,
nc38,28-Aug,1,11,2,,,,
cc14,28-Aug,1,3,0,1,4,5,
cc11,28-Aug,1,1,0,1,7,2,
pc32,28-Aug,1,2,1,,,,
nc3,28-Aug,1,7,6,,,,
pc15,28-Aug,1,3,0,,,,
kc7,28-Aug,1,2,0,,,,
cc29,28-Aug,1,4,6,1,6,2,
pc11,28-Aug,1,2,4,,,,dead companion
pc29,28-Aug,1,9,0,,,,
cc32,28-Aug,1,1,0,1,8,8,
pc18,28-Aug,1,1,0,,,,dead companion
cc12,28-Aug,1,3,0,,,,
cc17,28-Aug,1,7,4,1,4,1,
nc25,28-Aug,1,9,4,,,,
cc26,28-Aug,1,5,0,,,,
pc10,28-Aug,1,4,3,,,,
nc21,28-Aug,1,7,9,,,,
pc8,28-Aug,1,1,0,,,,
nc7,28-Aug,1,1,0,,,,
pc35,28-Aug,1,2,0,,,,dead companion
cc8,28-Aug,1,4,10,0,0,0,
cc5,28-Aug,1,8,7,1,2,0,
cc35,28-Aug,0,0,0,1,6,2,
cc9,28-Aug,0,0,0,1,5,11,
pc5,28-Aug,1,5,11,,,,
nc20,28-Aug,1,3,0,,,,
cc23,28-Aug,1,1,0,1,11,7,
cc2,28-Aug,0,0,0,1,7,9,
nc29,28-Aug,1,1,0,,,,
kc8,28-Aug,1,7,2,,,,
cc22,28-Aug,1,8,2,1,12,18,
cc7,28-Aug,0,0,0,1,7,6,
kc10,28-Aug,1,2,0,,,,
pc12,28-Aug,1,17,13,,,,
pn2,31-Aug,1,1,1,,,,
kn25,31-Aug,1,13,10,,,,
pn14,31-Aug,1,1,3,,,,
nn31,31-Aug,1,9,12,,,,
nn29,31-Aug,1,7,3,,,,
cn33,31-Aug,1,3,3,1,6,3,
pn12,31-Aug,1,12,6,,,,
nn22,31-Aug,1,2,1,,,,
nn27,31-Aug,1,6,3,,,,
pn13,31-Aug,1,4,,,,,dead companion
pn24,31-Aug,1,3,,,,,
kn20,31-Aug,1,3,,,,,
pn25,31-Aug,1,1,,,,,
pn38,31-Aug,1,2,,,,,
kn5,31-Aug,1,3,,,,,
nn40,31-Aug,1,7,,,,,
cn16,31-Aug,1,2,,1,7,,
pn31,31-Aug,1,1,,,,,
pn8,31-Aug,1,2,,,,,
nn8,31-Aug,1,4,,,,,
kn4,31-Aug,1,7,,,,,
pn3,31-Aug,1,7,,,,,compnanion dead
kn21,31-Aug,1,3,,,,,
pn30,31-Aug,1,17,,,,,companion dead
nn15,31-Aug,1,4,,,,,
cn28,31-Aug,1,9,,,,,
nc23,31-Aug,1,5,,,,,
nc28,31-Aug,1,13,,,,,
cc15,31-Aug,1,6,0,1,10,,
cc28,31-Aug,1,11,0,1,8,,
kc19,31-Aug,1,11,,,,,
nc27,31-Aug,1,1,,,,,
nc2,31-Aug,1,2,,,,,
kc30,31-Aug,1,20,,,,,
cc16,31-Aug,1,3,,1,5,,
pc13,31-Aug,1,4,,,,,
cc34,31-Aug,1,5,,,,,
pc36,31-Aug,1,15,,,,,dead companion
pc25,31-Aug,1,10,,,,,dead companion
pc30,31-Aug,1,10,,,,,
cc21,31-Aug,1,2,,,,,
kc26,31-Aug,1,7,,,,,
pc9,31-Aug,1,6,,,,,dead companion
nn26,31-Aug,1,3,,,,,
cn1,31-Aug,1,2,,,,,
kn9,31-Aug,1,2,,,,,
cn26,31-Aug,1,1,,1,9,,
nn17,31-Aug,1,9,,,,,
pn11,31-Aug,1,8,,,,,
kn7,31-Aug,1,1,,,,,
kn12,31-Aug,1,9,,,,,
cc1,31-Aug,1,1,,,,,
kc40,31-Aug,1,5,,,,,
nc12,31-Aug,1,4,,,,,
nc18,31-Aug,1,3,,,,,
nc40,31-Aug,1,3,,,,,
kc29,31-Aug,1,2,0,,,,
kc14,31-Aug,1,7,,,,,
kc11,31-Aug,1,8,,,,,
pc39,31-Aug,1,8,,,,,
kc13,31-Aug,1,4,,,,,
cc6,31-Aug,0,0,0,1,1,0,
kc3,31-Aug,1,12,,,,,
cc3,31-Aug,1,2,,1,2,,
pc27,31-Aug,1,13,,,,,
kc9,31-Aug,1,7,,,,,
nn35,31-Aug,1,12,,,,,
pn4,31-Aug,1,8,,,,,dead companion
kn31,31-Aug,1,2,,,,,
cn34,31-Aug,1,3,,1,2,,
nn13,31-Aug,1,24,,,,,
cn29,31-Aug,1,2,,1,3,,
pn22,31-Aug,1,2,,,,,
pn32,31-Aug,1,6,,,,,
cn19,31-Aug,1,6,,1,9,,
cn37,31-Aug,0,0,0,1,6,,
pn34,31-Aug,1,7,,,,,
cn7,31-Aug,1,9,,1,4,,
kn38,31-Aug,1,7,,,,,
cn27,31-Aug,1,10,,1,2,,
kn1,31-Aug,1,14,,,,,
cn31,31-Aug,1,4,,1,11,,
nn4,31-Aug,1,11,,,,,
cn15,31-Aug,1,10,,1,3,,
kn33,31-Aug,1,1,,,,,
kn36,31-Aug,1,10,,,,,
cn22,31-Aug,1,5,,,,,
cn8,31-Aug,1,15,,1,7,,
cn13,31-Aug,1,10,,1,8,,
cn36,31-Aug,1,3,,1,4,,
k29,31-Aug,1,4,,,,,
pn9,31-Aug,1,9,,,,,
kc38,31-Aug,1,2,,,,,
cc4,31-Aug,1,9,,1,1,,
pc21,31-Aug,1,2,,,,,
kc17,31-Aug,1,7,,,,,
kc31,31-Aug,1,5,,,,,
kc24,31-Aug,1,4,,,,,
nc1,31-Aug,1,10,,,,,
cn20,31-Aug,1,3,,1,3,,
cn3,31-Aug,1,3,,1,3,,
pn6,31-Aug,1,3,,,,,
kn28,31-Aug,1,2,,,,,
kn34,31-Aug,1,3,,,,,
pn36,31-Aug,1,1,,1,4,,
cn35,31-Aug,1,2,,1,12,,
kn16,31-Aug,1,6,,,,,
kn18,31-Aug,1,1,,,,,
cn21,31-Aug,1,6,,1,11,,
pn40,31-Aug,1,12,,,,,
pn39,31-Aug,1,1,,,,,
