ID,focalSpecies,companionSpecies,interactionType
KN1,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN2,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN3,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN4,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN5,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN6,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN7,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN8,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN9,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN10,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN11,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN12,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN13,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN14,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN15,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN16,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN17,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN18,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN19,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN20,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN21,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN22,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN23,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN24,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN25,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN26,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN27,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN28,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN29,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN30,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN31,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN32,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN33,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN34,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN35,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN36,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN37,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN38,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN39,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN40,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC1,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC2,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC3,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC4,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC5,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC6,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC7,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC8,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC9,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC10,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC11,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC12,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC13,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC14,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC15,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC16,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC17,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC18,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC19,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC20,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC21,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC22,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC23,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC24,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC25,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC26,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC27,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC28,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC29,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC30,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC31,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC32,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC33,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC34,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC35,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC36,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC37,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC38,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC39,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC40,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
CN1,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN2,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN3,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN4,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN5,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN6,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN7,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN8,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN9,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN10,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN11,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN12,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN13,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN14,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN15,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN16,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN17,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN18,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN19,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN20,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN21,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN22,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN23,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN24,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN25,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN26,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN27,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN28,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN29,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN30,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN31,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN32,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN33,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN34,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN35,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN36,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN37,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN38,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN39,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN40,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC1,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC2,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC3,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC4,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC5,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC6,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC7,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC8,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC9,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC10,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC11,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC12,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC13,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC14,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC15,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC16,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC17,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC18,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC19,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC20,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC21,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC22,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC23,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC24,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC25,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC26,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC27,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC28,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC29,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC30,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC31,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC32,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC33,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC34,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC35,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC36,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC37,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC38,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC39,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CC40,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
PN1,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN2,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN3,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN4,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN5,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN6,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN7,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN8,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN9,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN10,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN11,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN12,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN13,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN14,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN15,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN16,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN17,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN18,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN19,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN20,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN21,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN22,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN23,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN24,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN25,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN26,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN27,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN28,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN29,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN30,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN31,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN32,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN33,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN34,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN35,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN36,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN37,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN38,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN39,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PN40,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC1,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC2,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC3,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC4,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC5,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC6,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC7,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC8,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC9,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC10,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC11,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC12,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC13,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC14,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC15,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC16,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC17,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC18,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC19,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC20,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC21,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC22,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC23,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC24,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC25,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC26,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC27,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC28,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC29,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC30,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC31,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC32,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC33,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC34,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC35,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC36,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC37,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC38,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC39,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
PC40,Chamaecrista fasciculata,Agalinis tenuifolia,parasitism
NN1,Chamaecrista fasciculata,none,none
NN2,Chamaecrista fasciculata,none,none
NN3,Chamaecrista fasciculata,none,none
NN4,Chamaecrista fasciculata,none,none
NN5,Chamaecrista fasciculata,none,none
NN6,Chamaecrista fasciculata,none,none
NN7,Chamaecrista fasciculata,none,none
NN8,Chamaecrista fasciculata,none,none
NN9,Chamaecrista fasciculata,none,none
NN10,Chamaecrista fasciculata,none,none
NN11,Chamaecrista fasciculata,none,none
NN12,Chamaecrista fasciculata,none,none
NN13,Chamaecrista fasciculata,none,none
NN14,Chamaecrista fasciculata,none,none
NN15,Chamaecrista fasciculata,none,none
NN16,Chamaecrista fasciculata,none,none
NN17,Chamaecrista fasciculata,none,none
NN18,Chamaecrista fasciculata,none,none
NN19,Chamaecrista fasciculata,none,none
NN20,Chamaecrista fasciculata,none,none
NN21,Chamaecrista fasciculata,none,none
NN22,Chamaecrista fasciculata,none,none
NN23,Chamaecrista fasciculata,none,none
NN24,Chamaecrista fasciculata,none,none
NN25,Chamaecrista fasciculata,none,none
NN26,Chamaecrista fasciculata,none,none
NN27,Chamaecrista fasciculata,none,none
NN28,Chamaecrista fasciculata,none,none
NN29,Chamaecrista fasciculata,none,none
NN30,Chamaecrista fasciculata,none,none
NN31,Chamaecrista fasciculata,none,none
NN32,Chamaecrista fasciculata,none,none
NN33,Chamaecrista fasciculata,none,none
NN34,Chamaecrista fasciculata,none,none
NN35,Chamaecrista fasciculata,none,none
NN36,Chamaecrista fasciculata,none,none
NN37,Chamaecrista fasciculata,none,none
NN38,Chamaecrista fasciculata,none,none
NN39,Chamaecrista fasciculata,none,none
NN40,Chamaecrista fasciculata,none,none
NC1,Chamaecrista fasciculata,none,none
NC2,Chamaecrista fasciculata,none,none
NC3,Chamaecrista fasciculata,none,none
NC4,Chamaecrista fasciculata,none,none
NC5,Chamaecrista fasciculata,none,none
NC6,Chamaecrista fasciculata,none,none
NC7,Chamaecrista fasciculata,none,none
NC8,Chamaecrista fasciculata,none,none
NC9,Chamaecrista fasciculata,,none
NC10,Chamaecrista fasciculata,,none
NC11,Chamaecrista fasciculata,,none
NC12,Chamaecrista fasciculata,,none
NC13,Chamaecrista fasciculata,,none
NC14,Chamaecrista fasciculata,,none
NC15,Chamaecrista fasciculata,,none
NC16,Chamaecrista fasciculata,,none
NC17,Chamaecrista fasciculata,,none
NC18,Chamaecrista fasciculata,,none
NC19,Chamaecrista fasciculata,,none
NC20,Chamaecrista fasciculata,,none
NC21,Chamaecrista fasciculata,,none
NC22,Chamaecrista fasciculata,,none
NC23,Chamaecrista fasciculata,,none
NC24,Chamaecrista fasciculata,,none
NC25,Chamaecrista fasciculata,,none
NC26,Chamaecrista fasciculata,,none
NC27,Chamaecrista fasciculata,,none
NC28,Chamaecrista fasciculata,,none
NC29,Chamaecrista fasciculata,,none
NC30,Chamaecrista fasciculata,,none
NC31,Chamaecrista fasciculata,,none
NC32,Chamaecrista fasciculata,,none
NC33,Chamaecrista fasciculata,,none
NC34,Chamaecrista fasciculata,,none
NC35,Chamaecrista fasciculata,,none
NC36,Chamaecrista fasciculata,,none
NC37,Chamaecrista fasciculata,,none
NC38,Chamaecrista fasciculata,,none
NC39,Chamaecrista fasciculata,,none
NC40,Chamaecrista fasciculata,,none
